t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,75.0,183.0,210.0,9.0,1.0828427124746192,79.8,0.0
500.0,76.0,184.0,185.0,2.0,1.2761423749153966,82.66666666666667,0.0
500.0,77.0,189.0,193.0,4.0,1.365685424949238,104.4,0.0
500.0,78.0,190.0,191.0,2.0,1.1380711874576983,86.66666666666667,0.0
500.0,79.0,192.0,187.0,9.0,1.1414213562373097,90.1,0.0
500.0,80.0,194.0,212.0,4.0,1.282842712474619,88.4,0.0
500.0,81.0,197.0,186.0,13.0,1.421392495472262,102.85714285714286,0.0
500.0,82.0,199.0,214.0,4.0,1.282842712474619,97.0,0.0
500.0,83.0,200.0,218.0,8.0,1.2952060277213755,86.33333333333333,0.0
500.0,84.0,202.0,213.0,3.0,1.1035533905932735,88.0,0.0
500.0,85.0,204.0,258.0,19.0,1.253553390593274,85.55,0.0
500.0,86.0,205.0,191.0,3.0,1.1035533905932735,81.25,0.0
500.0,87.0,206.0,193.0,3.0,1.1035533905932735,112.75,0.0
500.0,88.0,211.0,203.0,14.0,1.1495093791412856,89.33333333333333,0.0
500.0,89.0,215.0,222.0,2.0,1.2761423749153966,88.66666666666667,0.0
500.0,90.0,220.0,187.0,9.0,1.182842712474619,85.3,0.0
500.0,91.0,223.0,210.0,3.0,1.2071067811865477,84.0,0.0
500.0,92.0,224.0,238.0,8.0,1.1111111111111112,87.33333333333333,0.0
500.0,93.0,227.0,214.0,22.0,1.4002882924337798,117.91304347826087,0.0
500.0,94.0,228.0,245.0,6.0,1.31943828249997,104.0,0.0
500.0,95.0,230.0,229.0,2.0,1.1380711874576983,110.66666666666669,0.0
500.0,96.0,231.0,216.0,11.0,1.201184463531091,89.83333333333333,0.0
500.0,97.0,234.0,249.0,4.0,1.565685424949238,108.6,0.0
500.0,98.0,237.0,287.0,17.0,1.193626743013254,86.27777777777777,0.0
500.0,99.0,239.0,251.0,2.0,1.0,90.33333333333331,0.0
500.0,100.0,240.0,243.0,10.0,1.0753115567951084,87.63636363636364,0.0
500.0,101.0,241.0,247.0,3.0,1.1035533905932735,130.0,0.0
500.0,102.0,244.0,243.0,3.0,1.1035533905932735,92.25,0.0
500.0,103.0,246.0,232.0,4.0,1.282842712474619,84.8,0.0
500.0,104.0,252.0,232.0,4.0,1.282842712474619,84.4,0.0
500.0,105.0,257.0,311.0,24.0,1.402842712474619,85.76,0.0
500.0,106.0,259.0,251.0,7.0,1.0,89.375,0.0
500.0,107.0,261.0,249.0,6.0,1.261203874963741,112.42857142857144,0.0
500.0,108.0,263.0,280.0,7.0,1.051776695296637,82.25,0.0
500.0,109.0,265.0,268.0,3.0,1.5,92.0,0.0
500.0,110.0,267.0,290.0,8.0,1.1380711874576983,90.88888888888889,0.0
500.0,111.0,269.0,273.0,3.0,1.1035533905932735,90.25,0.0
500.0,112.0,271.0,277.0,2.0,1.0,92.66666666666669,0.0
500.0,113.0,272.0,309.0,12.0,1.0318625817210074,84.46153846153847,0.0
500.0,114.0,274.0,295.0,7.0,1.0,77.5,0.0
500.0,115.0,275.0,277.0,2.0,1.0,95.0,0.0
500.0,116.0,278.0,276.0,9.0,1.2,99.3,0.0
500.0,117.0,279.0,296.0,5.0,1.235702260395516,89.16666666666667,0.0
500.0,118.0,281.0,280.0,2.0,1.1380711874576983,87.33333333333333,0.0
500.0,119.0,282.0,325.0,22.0,1.241580399395828,88.34782608695652,0.0
500.0,120.0,284.0,283.0,2.0,1.1380711874576983,88.0,0.0
500.0,121.0,285.0,348.0,34.0,1.4052504624021025,90.68571428571428,0.0
500.0,122.0,286.0,303.0,6.0,1.0591733660532994,89.0,0.0
500.0,123.0,288.0,255.0,13.0,1.4632343838741837,107.92857142857144,0.0
500.0,124.0,300.0,233.0,22.0,1.4633414891083645,114.91304347826087,0.0
500.0,125.0,301.0,295.0,2.0,1.0,80.66666666666667,0.0
500.0,126.0,304.0,303.0,3.0,1.1035533905932735,88.0,0.0
500.0,127.0,308.0,321.0,6.0,1.1183467321065983,89.0,0.0
500.0,128.0,310.0,340.0,12.0,1.1593129086050369,95.3076923076923,0.0
500.0,129.0,313.0,323.0,4.0,1.3300563079745769,95.8,0.0
500.0,130.0,317.0,306.0,5.0,1.235702260395516,87.66666666666667,0.0
500.0,131.0,318.0,358.0,16.0,1.2878189545289511,86.82352941176471,0.0
500.0,132.0,319.0,332.0,5.0,1.0690355937288492,83.5,0.0
500.0,133.0,324.0,328.0,2.0,1.1380711874576983,87.33333333333333,0.0
500.0,134.0,326.0,337.0,7.0,1.125,85.75,0.0
500.0,135.0,327.0,331.0,2.0,1.2761423749153966,86.0,0.0
500.0,136.0,329.0,328.0,2.0,1.1380711874576983,90.0,0.0
500.0,137.0,333.0,354.0,7.0,1.7366152783740212,112.25,0.0
500.0,138.0,334.0,373.0,13.0,1.0,109.42857142857144,0.0
500.0,139.0,335.0,340.0,2.0,1.1380711874576983,96.33333333333331,0.0
500.0,140.0,338.0,348.0,3.0,1.25,87.25,0.0
500.0,141.0,341.0,364.0,15.0,1.114276695296637,84.0625,0.0
500.0,142.0,344.0,331.0,4.0,1.165685424949238,83.6,0.0
500.0,143.0,347.0,360.0,5.0,1.235702260395516,88.83333333333333,0.0
500.0,144.0,349.0,342.0,2.0,1.0,83.66666666666667,0.0
500.0,145.0,350.0,363.0,7.0,1.051776695296637,99.375,0.0
500.0,146.0,351.0,342.0,3.0,1.0,82.75,0.0
500.0,147.0,353.0,352.0,4.0,1.082842712474619,97.2,0.0
500.0,148.0,355.0,363.0,5.0,1.2071067811865477,104.83333333333331,0.0
500.0,149.0,356.0,364.0,2.0,1.1380711874576983,86.66666666666667,0.0
500.0,150.0,359.0,367.0,4.0,1.812899020449196,139.0,0.0
500.0,151.0,361.0,357.0,3.0,1.25,90.75,0.0
500.0,152.0,362.0,369.0,2.0,1.1380711874576983,109.33333333333331,0.0
500.0,153.0,365.0,403.0,16.0,1.107554536749776,80.52941176470588,0.0
500.0,154.0,368.0,371.0,5.0,1.0690355937288492,94.66666666666669,0.0
500.0,155.0,370.0,383.0,5.0,1.0690355937288492,88.0,0.0
500.0,156.0,372.0,369.0,2.0,1.1380711874576983,108.0,0.0
500.0,157.0,376.0,367.0,5.0,1.746451444103179,145.5,0.0
500.0,158.0,377.0,330.0,16.0,1.297911476602705,85.88235294117646,0.0
500.0,159.0,381.0,426.0,12.0,1.0318625817210074,84.0,0.0
500.0,160.0,382.0,413.0,9.0,2.586563623409701,111.2,0.0
500.0,161.0,390.0,408.0,16.0,1.253360928786192,100.05882352941175,0.0
500.0,162.0,392.0,416.0,8.0,2.790827429949992,121.77777777777776,0.0
500.0,163.0,395.0,379.0,5.0,1.1666666666666667,85.0,0.0
500.0,164.0,398.0,444.0,13.0,1.248479190329934,94.14285714285714,0.0
500.0,165.0,399.0,429.0,7.0,4.651074414196853,138.875,0.0
500.0,166.0,407.0,412.0,3.0,1.25,89.0,0.0
500.0,167.0,410.0,400.0,3.0,1.3535533905932735,107.25,0.0
500.0,168.0,415.0,460.0,11.0,1.0690355937288494,85.25,0.0
500.0,169.0,418.0,422.0,3.0,1.0,107.75,0.0
500.0,170.0,419.0,402.0,5.0,1.0690355937288492,83.16666666666667,0.0
500.0,171.0,424.0,443.0,5.0,1.1666666666666667,102.33333333333331,0.0
500.0,172.0,427.0,426.0,2.0,1.0,88.0,0.0
500.0,173.0,432.0,471.0,12.0,1.0769230769230769,96.76923076923076,0.0
500.0,174.0,433.0,412.0,9.0,1.4071067811865476,88.6,0.0
500.0,175.0,436.0,452.0,5.0,1.1380711874576983,83.5,0.0
500.0,176.0,438.0,425.0,3.0,1.0,84.75,0.0
500.0,177.0,439.0,472.0,10.0,1.0909090909090908,83.63636363636364,0.0
500.0,178.0,445.0,484.0,11.0,1.407743518916014,93.08333333333331,0.0
500.0,179.0,450.0,435.0,5.0,1.608380256645481,110.0,0.0
500.0,180.0,451.0,464.0,6.0,1.2020305089104422,95.0,0.0
500.0,181.0,455.0,459.0,5.0,1.0690355937288492,96.0,0.0
500.0,182.0,458.0,485.0,8.0,1.1571348402636774,97.77777777777776,0.0
